Category,Product,Price,response
Batteries,"Duracell Coppertop AA Battery, Long Lasting Double A Batteries, 16 Pack",3.1940000000000004,0.125
PaperTowels,"Bounty Select-a-Size Paper Towels, 12 Double Rolls, White",26.616,0.0
PetSupplies-DogFood,"Purina Dog Chow Complete, Dry Dog Food for Adult Dogs High Protein, Real Chicken, 44 lb Bag",0.0,0.875
CleaningSupplies,"ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 1 lb Box",2.772,0.5
Beer,"Stella Artois Lager, 12 Pack, 11.2 fl oz Glass Bottles, 5% ABV, Domestic Beer",9.438,0.375
RefrigeratedBacon,"Oscar Mayer Fully Cooked Original Bacon, 2.52 oz Box",6.832,0.0
RefrigeratedEntrees,"John Soules Foods Chicken Breast Fajita Strips, Refrigerated, 16 oz, 18 g Protein per 3 oz Serving Size",3.588,0.125
Bakery-FreshCakes,"Little Debbie Zebra Cakes, 13 oz",1.072,0.0
PainRemedies-Headache,"Tylenol Extra Strength Caplets with 500 mg Acetaminophen, 100 Ct",2.1940000000000004,0.0
Snacks-TortillaChips,"Doritos Nacho Cheese Tortilla Snack Chips, Party Size, 14.5 oz Bag",10.692,0.0
Dairy-Milk-Refrigerated,Great Value Milk Whole Vitamin D Gallon,6.272,0.0
Batteries,"Duracell Coppertop AA Battery, Long Lasting Double A Batteries, 16 Pack",22.358,0.0
RefrigeratedBacon,"Oscar Mayer Fully Cooked Original Bacon, 2.52 oz Box",0.854,0.125
Yogurt-Refrigerated,"Chobani Non-Fat Greek Yogurt, Vanilla Blended 32 oz, Plastic",0.0,0.125
FruitJuice,"Capri Sun Variety Pack with Fruit Punch, Strawberry Kiwi & Pacific Cooler Juice Box Pouches, 30 ct Box, 6 fl oz Pouches",3.772,0.375
Candy-Non-Chocolate,"HARIBO Goldbears Original Gummy Bears, 28.8 oz Stand Up Bag",5.184000000000001,0.0
FruitDrinks,"Kool Aid Jammers Variety Pack with Tropical Punch, Grape & Cherry Kids Drink 0% Juice Box Pouches, 30 Ct Box, 6 fl oz Pouches",13.086,0.0
PainRemedies-Headache,"Tylenol Extra Strength Caplets with 500 mg Acetaminophen, 100 Ct",8.776000000000002,0.0
Snacks-TortillaChips,"Doritos Nacho Cheese Tortilla Snack Chips, Party Size, 14.5 oz Bag",0.0,1.0
DairyProducts,"Land O Lakes Salted Stick Butter, 16 oz, 4 Sticks",9.504,0.0
CatFood-WetType,Purina Fancy Feast Chicken Feast Classic Grain Free Wet Cat Food Pate - 3 oz. Can,1.584,0.25
FrozenFoods,"Great Value All Natural Chicken Wing Sections, 4 lb (Frozen)",12.98,0.0
PetSupplies-DogFood,"Purina Dog Chow Complete, Dry Dog Food for Adult Dogs High Protein, Real Chicken, 44 lb Bag",46.672,0.0
BottledWater,"OZARKA Brand 100% Natural Spring Water, 16.9-ounce plastic bottles (Pack of 35)",27.944,0.0
FreshFruit,"Fresh Raspberries, 12 oz Container",2.844,0.5
Soup,"Maruchan Ramen Noodle Chicken Flavor Soup, 3 Oz, 12 Count Shelf Stable Package",0.0,0.5
Batteries,"Duracell Coppertop AA Battery, Long Lasting Double A Batteries, 16 Pack",0.0,0.5
RefrigeratedDeliMeats,Goya Cooked Ham 16 oz,17.994,0.0
RefrigeratedBacon,"Oscar Mayer Fully Cooked Original Bacon, 2.52 oz Box",4.27,0.0
Lunchmeat-Sliced-Refrigerated,"Oscar Mayer Chopped Ham & Water product Deli Lunch Meat, 16 Oz Package",5.196,0.0
Bakery-FreshCakes,"Little Debbie Zebra Cakes, 13 oz",0.0,0.125
SoftDrinks-LowCalorie,"Coca-Cola Zero Sugar Soda Pop, 16.9 fl oz, 6 Pack Cans",8.288,0.125
Yogurt-Refrigerated,"Chobani Non-Fat Greek Yogurt, Vanilla Blended 32 oz, Plastic",7.811999999999999,0.0
Frankfurters-Refrigerated,"Oscar Mayer Classic Uncured Beef Franks Hot Dogs, 10 ct Pack",3.152,0.0
RefrigeratedEntrees,"John Soules Foods Chicken Breast Fajita Strips, Refrigerated, 16 oz, 18 g Protein per 3 oz Serving Size",8.372,0.125
Beer,"Stella Artois Lager, 12 Pack, 11.2 fl oz Glass Bottles, 5% ABV, Domestic Beer",6.292000000000001,0.0
FreshEggs,"Eggland’s Best Classic Extra Large White Eggs, 12 count",4.452,0.0
IceCream,"Haagen Dazs Coffee Ice Cream, Gluten Free, Kosher, 14.0 oz",1.672,0.125
Candy-Non-Chocolate,"HARIBO Goldbears Original Gummy Bears, 28.8 oz Stand Up Bag",1.2960000000000005,0.125
RefrigeratedDeliMeats,Goya Cooked Ham 16 oz,59.98,0.0
FruitJuice,"Capri Sun Variety Pack with Fruit Punch, Strawberry Kiwi & Pacific Cooler Juice Box Pouches, 30 ct Box, 6 fl oz Pouches",3.772,0.0
Detergents-HeavyDuty-Liquid,"Purex Liquid Laundry Detergent Plus OXI, Stain Defense Technology, 128 Fluid Ounces, 85 Wash Loads",15.952000000000002,0.375
Beer,"Stella Artois Lager, 12 Pack, 11.2 fl oz Glass Bottles, 5% ABV, Domestic Beer",0.0,0.625
FruitDrinks,"Kool Aid Jammers Variety Pack with Tropical Punch, Grape & Cherry Kids Drink 0% Juice Box Pouches, 30 Ct Box, 6 fl oz Pouches",4.361999999999999,0.0
Cereal-ReadytoEat,"Cinnamon Toast Crunch Breakfast Cereal, Crispy Cinnamon Cereal, Family Size, 18.8 oz",0.0,0.125
